"Key","Swedish","English UK","English US","Context","Status","Translator","Last Modified","Notes"
"contact.company.title","Företagsinformation","Company Information","Company Information","","approved","","",""
"contact.header.subtitle","Vi är här för att hjälpa er med alla era frågor och behov","We're here to help you with all your questions and needs","We're here to help you with all your questions and needs","","approved","","",""
"contact.header.title","📞 Kontakt & Support","📞 Contact & Support","📞 Contact & Support","","approved","","",""
"contact.hours.contact.days","Måndag - Fredag","Monday - Friday","Monday - Friday","","approved","","",""
"contact.hours.contact.time","08:00 - 17:00","08:00 - 17:00","08:00 - 17:00","","approved","","",""
"contact.hours.contact.title","Kontakttider","Contact times","Contact times","","approved","","",""
"contact.hours.response.duration","24 timmar","24 hours","24 hours","","approved","","",""
"contact.hours.response.time","Vanligtvis inom","Usually within","Usually within","","approved","","",""
"contact.hours.response.title","Svarstid E-post","Email response time","Email response time","","approved","","",""
"contact.hours.title","🕒 Öppettider & Svarstider","🕒 Opening Hours & Response Times","🕒 Opening Hours & Response Times","","approved","","",""
"contact.quicklinks.marketing.description","Ladda ner broschyrer och marknadsföringsmaterial","Download brochures and marketing materials","Download brochures and marketing materials","","approved","","",""
"contact.quicklinks.marketing.title","Marknadsföringsmaterial","Marketing Materials","Marketing Materials","","approved","","",""
"contact.quicklinks.order.description","Skapa en ny beställning för dina kunder","Create a new order for your customers","Create a new order for your customers","","approved","","",""
"contact.quicklinks.order.title","Lägg en beställning","Place an order","Place an order","","approved","","",""
"contact.quicklinks.orders.description","Visa och spåra dina tidigare beställningar","View and track your previous orders","View and track your previous orders","","approved","","",""
"contact.quicklinks.orders.title","Orderhistorik","Order History","Order History","","approved","","",""
"contact.quicklinks.products.description","Bläddra och ladda ner produktinformation","Browse and download product information","Browse and download product information","","approved","","",""
"contact.quicklinks.products.title","Produktkatalog","Product Catalogue","Product Catalog","","approved","","",""
"contact.quicklinks.title","🔗 Snabblänkar","🔗 Quick links","🔗 Quick links","","approved","","",""
"contact.support.email.description","Skicka era frågor till","Send your questions to","Send your questions to","","approved","","",""
"contact.support.email.response","så återkommer vi så snart som möjligt","and we'll get back to you as soon as possible","and we'll get back to you as soon as possible","","approved","","",""
"contact.support.email.title","📧 E-post support","📧 Email support","📧 Email support","","approved","","",""
"contact.support.product.description","Frågor om B8Shield produkter, priser eller leveranser hanteras via samma e-post","Questions about B8Shield products, prices or deliveries are handled via the same email","Questions about B8Shield products, prices or deliveries are handled via the same email","","approved","","",""
"contact.support.product.title","Produktfrågor","Product Questions","Product Questions","","approved","","",""
"contact.support.technical.description","Behöver ni hjälp med portalen eller har tekniska frågor? Vi hjälper er gärna!","Need help with the portal or have technical questions? We're happy to help!","Need help with the portal or have technical questions? We're happy to help!","","approved","","",""
"contact.support.technical.title","Teknisk support","Technical support","Technical support","","approved","","",""
"contact.support.title","Support & Hjälp","Support & Help","Support & Help","","approved","","",""
"dashboard.action_1","Ge butiksstället en synlig och central plats i butiken, gärna nära kassan.","Give the shop display a visible and central place in the shop, preferably near the checkout.","Give the shop display a visible and central place in the shop, preferably near the checkout.","","approved","","",""
"dashboard.action_2","Aktivt säljer och förklarar produkten för kunderna. Gör man inte det är sannolikheten stor att kunderna inte uppmärksammar produkten och därmed inte köper produkten vilket vare sig vi eller ni vinner på.","Actively sell and explain the product to customers. If you don't do this, there's a high probability that customers won't notice the product and therefore won't buy it, which benefits neither us nor you.","Actively sell and explain the product to customers. If you don't do this, there's a high probability that customers won't notice the product and therefore won't buy it, which benefits neither us nor you.","","approved","","",""
"dashboard.action_3","För att försäkra säljprocessen ytterligare skickar vi också med ett antal lösa B8Shields. Med fördel kan dessa läggas i en skål vid stället så att kund kan få klämma och känna på produkten.","To further ensure the sales process, we also send along a number of loose B8Shields. These can advantageously be placed in a bowl by the display so that customers can touch and feel the product.","To further ensure the sales process, we also send along a number of loose B8Shields. These can advantageously be placed in a bowl by the display so that customers can touch and feel the product.","","approved","","",""
"dashboard.action_quote","När kunden dock väl förstår vad B8Shield är och gör, är den lätt att välja, men kunden måste förstå det först","When the customer understands what B8Shield is and does, it's easy to choose, but the customer must understand it first","When the customer understands what B8Shield is and does, it's easy to choose, but the customer must understand it first","","approved","","",""
"dashboard.answer","Svar:","Answer:","Answer:","","approved","","",""
"dashboard.b2b_mode_debug","B2B Mode","B2B Mode","B2B Mode","","approved","","",""
"dashboard.b8shield_banner_alt","B8Shield Banner","B8Shield Banner","B8Shield Banner","","approved","","",""
"dashboard.catalog_description","Bläddra och ladda ner produktinformation","Browse and download product information","Browse and download product information","","approved","","",""
"dashboard.company_address_1","Östergatan 30 C","Östergatan 30 C","Östergatan 30 C","","approved","","",""
"dashboard.company_address_2","152 43 Södertälje","152 43 Södertälje","152 43 Södertälje","","approved","","",""
"dashboard.company_country","SWEDEN","SWEDEN","SWEDEN","","approved","","",""
"dashboard.company_email","info@b8shield.com","info@b8shield.com","info@b8shield.com","","approved","","",""
"dashboard.company_name","JPH Innovation AB","JPH Innovation AB","JPH Innovation AB","","approved","","",""
"dashboard.company_subtitle","JPH Innovation AB - B8Shield","JPH Innovation AB - B8Shield","JPH Innovation AB - B8Shield","","approved","","",""
"dashboard.contact_title","Kontaktuppgifter","Contact Information","Contact Information","","approved","","",""
"dashboard.explanation_1","B8Shield hindrar fiskedrag från att fastna i undervattensvegetation och andra undervattenshinder.","B8Shield prevents fishing lures from getting caught in underwater vegetation and other underwater obstacles.","B8Shield prevents fishing lures from getting caught in underwater vegetation and other underwater obstacles.","","approved","","",""
"dashboard.explanation_2_title","B8Shield finns i 4 olika utföranden:","B8Shield is available in 4 different variants:","B8Shield is available in 4 different variants:","","approved","","",""
"dashboard.explanation_3","B8Shield fästs på tre-krok. Passat till krokstorlek 2, 4 och 6, där storlek 2 också passar på krokstorlek 1. Krokstorlek 1/0 och 2/0 kommer inom kort.","B8Shield is attached to treble hooks. Fitted to hook sizes 2, 4 and 6, where size 2 also fits hook size 1. Hook sizes 1/0 and 2/0 coming soon.","B8Shield is attached to treble hooks. Fitted to hook sizes 2, 4 and 6, where size 2 also fits hook size 1. Hook sizes 1/0 and 2/0 coming soon.","","approved","","",""
"dashboard.explanation_4","B8Shields är designad så att man enkelt kan växla den mellan olika drag vid behov.","B8Shield is designed so that you can easily switch it between different lures as needed.","B8Shield is designed so that you can easily switch it between different lures as needed.","","approved","","",""
"dashboard.faq_1_answer","Nej, B8Shield påverkar inte krokens förmåga att kroka fisk. Under ett bett flexar sköldens vingar för att exponera krokarna, vilket säkerställer en lyckad fångst. Du krokar helt enkelt fisken som vanligt.","No, B8Shield does not affect the hook's ability to hook fish. During a bite, the shield's wings flex to expose the hooks, ensuring a successful catch. You simply hook the fish as normal.","No, B8Shield does not affect the hook's ability to hook fish. During a bite, the shield's wings flex to expose the hooks, ensuring a successful catch. You simply hook the fish as normal.","","approved","","",""
"dashboard.faq_1_question","Fråga 1: Kommer fisken sluta hugga?","Question 1: Will the fish stop biting?","Question 1: Will the fish stop biting?","","approved","","",""
"dashboard.faq_2_answer","Nej, B8Shield är testad med många typer av drag. Ingen skillnad i gång.","No, B8Shield is tested with many types of lures. No difference in action.","No, B8Shield is tested with many types of lures. No difference in action.","","approved","","",""
"dashboard.faq_2_question","Fråga 2: Förstör det gången på draget?","Question 2: Does it ruin the action of the lure?","Question 2: Does it ruin the action of the lure?","","approved","","",""
"dashboard.faq_3_answer","När du fiskar där det finns många undervattenhinder som ex. undervattensvegetation eller där det är stenigt, alltså där fisken ofta gömmer sig.","When you fish where there are many underwater obstacles such as underwater vegetation or where it's rocky, i.e. where fish often hide.","When you fish where there are many underwater obstacles such as underwater vegetation or where it's rocky, i.e. where fish often hide.","","approved","","",""
"dashboard.faq_3_question","Fråga 3: När ska man använda den?","Question 3: When should you use it?","Question 3: When should you use it?","","approved","","",""
"dashboard.faq_title","Vanliga frågor – och vad du svarar:","Common questions – and what you answer:","Common questions – and what you answer:","","approved","","",""
"dashboard.feature_catalog","Bläddra i produktkatalog","Browse product catalogue","Browse product catalog","","approved","","",""
"dashboard.feature_history","Överblick över orderhistorik","Overview of order history","Overview of order history","","approved","","",""
